Year,Month,Day,Return_t,Return_day_before
2014,2,18,0.99120202,1.00198371
2014,2,19,0.9974983,0.99120202
2014,2,20,1.00242753,0.9974983
2014,2,21,0.99945861,1.00242753
2014,2,23,0.99831852,0.99945861
2014,2,24,0.99966982,0.99831852
2014,2,25,1.00176408,0.99966982
2014,2,26,1.0009029,1.00176408
2014,2,27,1.0101134,1.0009029
2014,2,28,1.00212243,1.0101134
2014,3,2,0.99506871,1.00212243
2014,3,3,0.99713837,0.99506871
2014,3,4,1.00181701,0.99713837
2014,3,5,0.99229714,1.00181701
2014,3,6,0.99319518,0.99229714
2014,3,7,1.0011454,0.99319518
2014,3,9,1.00204597,1.0011454
2014,3,10,1.00538832,1.00204597
2014,3,11,0.99689907,1.00538832
2014,3,12,0.99949011,0.99689907
2014,3,13,0.99783515,0.99949011
2014,3,14,1.00066886,0.99783515
2014,3,16,0.99696445,1.00066886
2014,3,17,0.98867427,0.99696445
2014,3,18,1.00111315,0.98867427
2014,3,19,0.99985226,1.00111315
2014,3,20,0.99688746,0.99985226
2014,3,21,0.99789342,0.99688746
2014,3,23,0.99928525,0.99789342
2014,3,24,0.99872878,0.99928525
2014,3,25,0.99922809,0.99872878
2014,3,26,1.00200709,0.99922809
2014,3,27,0.99890465,1.00200709
2014,3,28,1.00005868,0.99890465
2014,3,30,0.999101,1.00005868
2014,3,31,1.00417031,0.999101
2014,4,1,0.99908827,1.00417031
2014,4,2,1.00151203,0.99908827
2014,4,3,0.99855878,1.00151203
2014,4,4,0.99980395,0.99855878
2014,4,6,1.00303811,0.99980395
2014,4,7,0.9950496,1.00303811
2014,4,8,1.00080288,0.9950496
2014,4,9,0.99241107,1.00080288
2014,4,10,0.99802166,0.99241107
2014,4,11,1.00197252,0.99802166
2014,4,13,0.99650448,1.00197252
2014,4,14,1.00522689,0.99650448
2014,4,15,0.99588996,1.00522689
2014,4,16,1.00537959,0.99588996
2014,4,17,0.99799642,1.00537959
2014,4,18,0.99924194,0.99799642
2014,4,20,1.00221103,0.99924194
2014,4,21,0.99442093,1.00221103
2014,4,22,1.00749451,0.99442093
2014,4,23,1.00386951,1.00749451
2014,4,24,0.99777144,1.00386951
2014,4,25,1.00071404,0.99777144
2014,4,27,1.0015871,1.00071404
2014,4,28,1.00667679,1.0015871
2014,4,29,0.99622716,1.00667679
2014,4,30,1.00197876,0.99622716
2014,5,1,0.99828998,1.00197876
2014,5,2,0.99895935,0.99828998
